"","airport","airport_name"
"1","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"2","BOS","Boston, MA: Logan International"
"3","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
"4","CLT","Charlotte, NC: Charlotte Douglas International"
"5","DCA","Washington, DC: Ronald Reagan Washington National"
"6","DEN","Denver, CO: Denver International"
"7","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
"8","DTW","Detroit, MI: Detroit Metro Wayne County"
"9","IAH","Houston, TX: George Bush Intercontinental/Houston"
"10","JFK","New York, NY: John F. Kennedy International"
"11","LAS","Las Vegas, NV: McCarran International"
"12","LAX","Los Angeles, CA: Los Angeles International"
"13","LGA","New York, NY: LaGuardia"
"14","MCO","Orlando, FL: Orlando International"
"15","MDW","Chicago, IL: Chicago Midway International"
"16","MSP","Minneapolis, MN: Minneapolis-St Paul International"
"17","ORD","Chicago, IL: Chicago O'Hare International"
"18","PHL","Philadelphia, PA: Philadelphia International"
"19","SEA","Seattle, WA: Seattle/Tacoma International"
"20","SFO","San Francisco, CA: San Francisco International"
"21","ALL","20 biggest US airports"
